A Abreviation,Dog,H Abreviation,Matchup ID,Schedule Date,Schedule Playoff,Schedule Week,Stadium,Team Favorite Id,Team ID,Team's playing,Team_Season,Opponent Score,Schedule Season,Score Away,Score Home,Spread,Team Score
SF,SF,ATL,ATLSF,9/3/2000,FALSE,1,Georgia Dome,ATL,ATL,SF@ATL,2000_ATL,28,2000,28,36,-6.5,36
TEN,TEN,BUF,BUFTEN,9/3/2000,FALSE,1,Ralph Wilson Stadium,BUF,BUF,TEN@BUF,2000_BUF,13,2000,13,16,-1,16
JAX,CLE,CLE,CLEJAX,9/3/2000,FALSE,1,FirstEnergy Stadium,JAX,CLE,JAX@CLE,2000_CLE,27,2000,27,7,10.5,7
PHI,PHI,DAL,DALPHI,9/3/2000,FALSE,1,Texas Stadium,DAL,DAL,PHI@DAL,2000_DAL,41,2000,41,14,-6,14
NYJ,NYJ,GB,GBNYJ,9/3/2000,FALSE,1,Lambeau Field,GB,GB,NYJ@GB,2000_GB,20,2000,20,16,-2.5,16
IND,KC,KC,INDKC,9/3/2000,FALSE,1,Arrowhead Stadium,IND,KC,IND@KC,2000_KC,27,2000,27,14,3.5,14
SEA,SEA,MIA,MIASEA,9/3/2000,FALSE,1,Sun Life Stadium,MIA,MIA,SEA@MIA,2000_MIA,0,2000,0,23,-2,23
CHI,CHI,MIN,CHIMIN,9/3/2000,FALSE,1,Hubert H. Humphrey Metrodome,MIN,MIN,CHI@MIN,2000_MIN,27,2000,27,30,-4.5,30
TB,NE,NE,NETB,9/3/2000,FALSE,1,Foxboro Stadium,TB,NE,TB@NE,2000_NE,21,2000,21,16,3,16
DET,Pick,NO,DETNO,9/3/2000,FALSE,1,Louisiana Superdome,PICK,NO,DET@NO,2000_NO,14,2000,14,10,0,10
ARI,ARI,NYG,ARINYG,9/3/2000,FALSE,1,Giants Stadium,NYG,NYG,ARI@NYG,2000_NYG,16,2000,16,21,-6.5,21
LAC,LAC,LVR,LVRLAC,9/3/2000,FALSE,1,Oakland Coliseum,LVR,LVR,LAC@LVR,2000_LVR,6,2000,6,9,-6.5,9
BAL,PIT,PIT,BALPIT,9/3/2000,FALSE,1,Three Rivers Stadium,BAL,PIT,BAL@PIT,2000_PIT,16,2000,16,0,2.5,0
CAR,CAR,WAS,CARWAS,9/3/2000,FALSE,1,FedEx Field,WAS,WAS,CAR@WAS,2000_WAS,17,2000,17,20,-10.5,20
DEN,DEN,LAR,DENLAR,9/4/2000,FALSE,1,Edward Jones Dome,LAR,LAR,DEN@LAR,2000_LAR,36,2000,36,41,-6.5,41
DAL,DAL,ARI,ARIDAL,9/10/2000,FALSE,2,University of Phoenix Stadium,ARI,ARI,DAL@ARI,2000_ARI,31,2000,31,32,-3,32
JAX,JAX,BAL,BALJAX,9/10/2000,FALSE,2,M&T Bank Stadium,BAL,BAL,JAX@BAL,2000_BAL,36,2000,36,39,-3,39
GB,GB,BUF,BUFGB,9/10/2000,FALSE,2,Ralph Wilson Stadium,BUF,BUF,GB@BUF,2000_BUF,18,2000,18,27,-6,27
CLE,CLE,CIN,CINCLE,9/10/2000,FALSE,2,Paul Brown Stadium,CIN,CIN,CLE@CIN,2000_CIN,24,2000,24,7,-6,7
ATL,ATL,DEN,ATLDEN,9/10/2000,FALSE,2,Mile High Stadium,DEN,DEN,ATL@DEN,2000_DEN,14,2000,14,42,-4.5,42
WAS,DET,DET,DETWAS,9/10/2000,FALSE,2,Pontiac Silverdome,WAS,DET,WAS@DET,2000_DET,10,2000,10,15,5.5,15
LVR,LVR,IND,INDLVR,9/10/2000,FALSE,2,RCA Dome,IND,IND,LVR@IND,2000_IND,38,2000,38,31,-6.5,31
MIA,MIA,MIN,MIAMIN,9/10/2000,FALSE,2,Hubert H. Humphrey Metrodome,MIN,MIN,MIA@MIN,2000_MIN,7,2000,7,13,-3,13
NYG,NYG,PHI,NYGPHI,9/10/2000,FALSE,2,Veterans Stadium,PHI,PHI,NYG@PHI,2000_PHI,33,2000,33,18,-3,18
NO,NO,LAC,LACNO,9/10/2000,FALSE,2,Qualcomm Stadium,LAC,LAC,NO@LAC,2000_LAC,28,2000,28,27,-5.5,27
CAR,SF,SF,CARSF,9/10/2000,FALSE,2,Candlestick Park,CAR,SF,CAR@SF,2000_SF,38,2000,38,22,3,22
LAR,SEA,SEA,LARSEA,9/10/2000,FALSE,2,Husky Stadium,LAR,SEA,LAR@SEA,2000_SEA,37,2000,37,34,7.5,34
CHI,CHI,TB,CHITB,9/10/2000,FALSE,2,Raymond James Stadium,TB,TB,CHI@TB,2000_TB,0,2000,0,41,-7,41
KC,KC,TEN,KCTEN,9/10/2000,FALSE,2,Nissan Stadium,TEN,TEN,KC@TEN,2000_TEN,14,2000,14,17,-8.5,17
NE,NE,NYJ,NENYJ,9/11/2000,FALSE,2,Giants Stadium,NYJ,NYJ,NE@NYJ,2000_NYJ,19,2000,19,20,-6.5,20
ATL,ATL,CAR,ATLCAR,9/17/2000,FALSE,3,Bank of America Stadium,CAR,CAR,ATL@CAR,2000_CAR,15,2000,15,10,-6,10
NYG,NYG,CHI,CHINYG,9/17/2000,FALSE,3,Soldier Field,CHI,CHI,NYG@CHI,2000_CHI,14,2000,14,7,-2,7
PIT,CLE,CLE,CLEPIT,9/17/2000,FALSE,3,FirstEnergy Stadium,PIT,CLE,PIT@CLE,2000_CLE,20,2000,20,23,2.5,23
TB,DET,DET,DETTB,9/17/2000,FALSE,3,Pontiac Silverdome,TB,DET,TB@DET,2000_DET,31,2000,31,10,3,10
PHI,PHI,GB,GBPHI,9/17/2000,FALSE,3,Lambeau Field,GB,GB,PHI@GB,2000_GB,3,2000,3,6,-4,6
CIN,CIN,JAX,CINJAX,9/17/2000,FALSE,3,EverBank Field,JAX,JAX,CIN@JAX,2000_JAX,0,2000,0,13,-13,13
LAC,LAC,KC,KCLAC,9/17/2000,FALSE,3,Arrowhead Stadium,KC,KC,LAC@KC,2000_KC,10,2000,10,42,-4.5,42
BAL,MIA,MIA,BALMIA,9/17/2000,FALSE,3,Sun Life Stadium,BAL,MIA,BAL@MIA,2000_MIA,6,2000,6,19,1.5,19
MIN,MIN,NE,MINNE,9/17/2000,FALSE,3,Foxboro Stadium,NE,NE,MIN@NE,2000_NE,21,2000,21,13,-1.5,13
BUF,BUF,NYJ,BUFNYJ,9/17/2000,FALSE,3,Giants Stadium,NYJ,NYJ,BUF@NYJ,2000_NYJ,14,2000,14,27,-1,27
DEN,DEN,LVR,DENLVR,9/17/2000,FALSE,3,Oakland Coliseum,LVR,LVR,DEN@LVR,2000_LVR,33,2000,33,24,-3,24
NO,NO,SEA,NOSEA,9/17/2000,FALSE,3,Husky Stadium,SEA,SEA,NO@SEA,2000_SEA,10,2000,10,20,-6,20
SF,SF,LAR,LARSF,9/17/2000,FALSE,3,Edward Jones Dome,LAR,LAR,SF@LAR,2000_LAR,24,2000,24,41,-17,41
DAL,DAL,WAS,DALWAS,9/18/2000,FALSE,3,FedEx Field,WAS,WAS,DAL@WAS,2000_WAS,27,2000,27,21,-10.5,21
GB,GB,ARI,ARIGB,9/24/2000,FALSE,4,University of Phoenix Stadium,ARI,ARI,GB@ARI,2000_ARI,29,2000,29,3,-1,3
LAR,ATL,ATL,ATLLAR,9/24/2000,FALSE,4,Georgia Dome,LAR,ATL,LAR@ATL,2000_ATL,41,2000,41,20,6.5,20
CIN,CIN,BAL,BALCIN,9/24/2000,FALSE,4,M&T Bank Stadium,BAL,BAL,CIN@BAL,2000_BAL,0,2000,0,37,-11.5,37
DET,DET,CHI,CHIDET,9/24/2000,FALSE,4,Soldier Field,CHI,CHI,DET@CHI,2000_CHI,21,2000,21,14,-1,14
SF,SF,DAL,DALSF,9/24/2000,FALSE,4,Texas Stadium,DAL,DAL,SF@DAL,2000_DAL,41,2000,41,24,-6.5,24
KC,KC,DEN,DENKC,9/24/2000,FALSE,4,Mile High Stadium,DEN,DEN,KC@DEN,2000_DEN,23,2000,23,22,-7,22
NE,NE,MIA,MIANE,9/24/2000,FALSE,4,Sun Life Stadium,MIA,MIA,NE@MIA,2000_MIA,3,2000,3,10,-4.5,10
PHI,PHI,NO,NOPHI,9/24/2000,FALSE,4,Louisiana Superdome,NO,NO,PHI@NO,2000_NO,21,2000,21,7,-1.5,7
WAS,WAS,NYG,NYGWAS,9/24/2000,FALSE,4,Giants Stadium,NYG,NYG,WAS@NYG,2000_NYG,16,2000,16,6,-1,6
CLE,CLE,LVR,CLELVR,9/24/2000,FALSE,4,Oakland Coliseum,LVR,LVR,CLE@LVR,2000_LVR,10,2000,10,36,-10.5,36
TEN,PIT,PIT,PITTEN,9/24/2000,FALSE,4,Three Rivers Stadium,TEN,PIT,TEN@PIT,2000_PIT,23,2000,23,20,7,20
SEA,LAC,LAC,LACSEA,9/24/2000,FALSE,4,Qualcomm Stadium,SEA,LAC,SEA@LAC,2000_LAC,20,2000,20,12,2.5,12
NYJ,NYJ,TB,NYJTB,9/24/2000,FALSE,4,Raymond James Stadium,TB,TB,NYJ@TB,2000_TB,21,2000,21,17,-7,17
JAX,JAX,IND,INDJAX,9/25/2000,FALSE,4,RCA Dome,IND,IND,JAX@IND,2000_IND,14,2000,14,43,-3.5,43
IND,IND,BUF,BUFIND,10/1/2000,FALSE,5,Ralph Wilson Stadium,BUF,BUF,IND@BUF,2000_BUF,18,2000,18,16,-1.5,16
DAL,DAL,CAR,CARDAL,10/1/2000,FALSE,5,Bank of America Stadium,CAR,CAR,DAL@CAR,2000_CAR,16,2000,16,13,-6.5,13
MIA,CIN,CIN,CINMIA,10/1/2000,FALSE,5,Paul Brown Stadium,MIA,CIN,MIA@CIN,2000_CIN,31,2000,31,16,7,16
BAL,CLE,CLE,BALCLE,10/1/2000,FALSE,5,FirstEnergy Stadium,BAL,CLE,BAL@CLE,2000_CLE,12,2000,12,0,8.5,0
NE,NE,DEN,DENNE,10/1/2000,FALSE,5,Mile High Stadium,DEN,DEN,NE@DEN,2000_DEN,28,2000,28,19,-8.5,19
MIN,MIN,DET,DETMIN,10/1/2000,FALSE,5,Pontiac Silverdome,DET,DET,MIN@DET,2000_DET,31,2000,31,24,-1,24
CHI,CHI,GB,CHIGB,10/1/2000,FALSE,5,Lambeau Field,GB,GB,CHI@GB,2000_GB,27,2000,27,24,-5.5,24
PIT,PIT,JAX,JAXPIT,10/1/2000,FALSE,5,EverBank Field,JAX,JAX,PIT@JAX,2000_JAX,24,2000,24,13,-11,13
ATL,ATL,PHI,ATLPHI,10/1/2000,FALSE,5,Veterans Stadium,PHI,PHI,ATL@PHI,2000_PHI,10,2000,10,38,-3,38
ARI,ARI,SF,ARISF,10/1/2000,FALSE,5,Candlestick Park,SF,SF,ARI@SF,2000_SF,20,2000,20,27,-3.5,27
LAC,LAC,LAR,LACLAR,10/1/2000,FALSE,5,Edward Jones Dome,LAR,LAR,LAC@LAR,2000_LAR,31,2000,31,57,-17,57
NYG,NYG,TEN,NYGTEN,10/1/2000,FALSE,5,Nissan Stadium,TEN,TEN,NYG@TEN,2000_TEN,14,2000,14,28,-5,28
TB,TB,WAS,TBWAS,10/1/2000,FALSE,5,FedEx Field,WAS,WAS,TB@WAS,2000_WAS,17,2000,17,20,-1.5,20
SEA,SEA,KC,KCSEA,10/2/2000,FALSE,5,Arrowhead Stadium,KC,KC,SEA@KC,2000_KC,17,2000,17,24,-4,24
CLE,CLE,ARI,ARICLE,10/8/2000,FALSE,6,University of Phoenix Stadium,ARI,ARI,CLE@ARI,2000_ARI,21,2000,21,29,-4.5,29
NYG,NYG,ATL,ATLNYG,10/8/2000,FALSE,6,Georgia Dome,ATL,ATL,NYG@ATL,2000_ATL,13,2000,13,6,-1,6
